Time,Latitude,Longitude,Range_km,Direction,Name,Type
2025/08/09 06:57:29,9.94306,49.93395,16.705,112.3°,Okanagan Mountain Lookout (BC, CAN)
2025/08/09 07:01:29,24.79500,46.71715,9.989,25.0°,Riyadh,City
2025/08/10 00:45:59,35.24728,138.69233,12.996,194.2°,Mount Fuji,Mountain Peak
2025/08/10 08:51:29,45.99448,14.75866,20.720,109.5°,Ljubljana,City
2025/08/12 22:22:59,43.91904,7.35747,20.796,345.0°,Monaco,City
2025/08/14 06:35:59,33.93685,-118.15338,15.292,147.0°,Los Angeles,City
2025/08/14 22:33:59,60.04786,10.67042,15.575,343.1°,Oslo,City
2025/08/15 07:55:59,54.76137,25.63235,24.101,69.8°,Vilnius,City
2025/08/15 10:16:59,-41.18268,174.61061,18.028,309.8°,Wellington,City
