Name,Type,Tile_km,Center_Lat,Center_Lon,Lat_min,Lat_max,Lon_min,Lon_max
Ouagadougou,City,5.0,12.3714,-1.5197,12.348877477477476,12.393922522522523,-1.5427579430673257,-1.4966420569326744
Yamoussoukro,City,5.0,6.8276,-5.2893,6.805077477477478,6.850122522522523,-5.311983385004086,-5.266616614995914
Pretoria,City,5.0,-25.7479,28.2293,-25.770422522522523,-25.72537747747748,28.20429481692026,28.254305183079737
Cairo,City,5.0,30.0444,31.2357,30.021877477477478,30.06692252252252,31.20968158256663,31.26171841743337
Dodoma,City,5.0,-6.163,35.7516,-6.185522522522523,-6.140477477477478,35.72894655186531,35.774253448134694
Antananarivo,City,5.0,-18.8792,47.5079,-18.901722522522522,-18.85667747747748,47.48409694167653,47.531703058323465
Doha,City,5.0,25.2854,51.531,25.262877477477478,25.30792252252252,51.50609097957148,51.555909020428516
Riyadh,City,5.0,24.7136,46.6753,24.691077477477478,24.73612252252252,46.650506626761654,46.700093373238346
Brazzaville,City,5.0,-4.2634,15.2429,-4.285922522522522,-4.240877477477477,15.220314980794312,15.26548501920569
Kinshasa,City,5.0,-4.4419,15.2663,-4.464422522522523,-4.419377477477478,15.243709624608943,15.288890375391055
Luanda,City,5.0,-8.839,13.2894,-8.861522522522524,-8.816477477477477,13.266606785682834,13.312193214317167
Yaounde,City,5.0,3.848,11.5021,3.8254774774774774,3.8705225225225224,11.4795265879018,11.5246734120982
Bamako,City,5.0,12.6392,-8.0029,12.616677477477477,12.661722522522524,-8.025981858584366,-7.979818141415635
Nouakchott,City,5.0,18.0735,-15.9582,18.050977477477478,18.09602252252252,-15.98189147602144,-15.93450852397856
Algiers,City,5.0,36.7538,3.0588,36.73127747747748,36.77632252252252,3.0306895090334933,3.086910490966507
Rabat,City,5.0,34.0209,-6.8416,33.998377477477476,34.04342252252252,-6.868773758634263,-6.814426241365736
New Delhi,City,5.0,28.6139,77.209,28.59137747747748,28.636422522522523,77.18334403255048,77.23465596744953
Islamabad,City,5.0,33.6844,73.0479,33.661877477477475,33.70692252252252,73.02083308151704,73.07496691848296
Kabul,City,5.0,34.5553,69.2075,34.53277747747748,34.577822522522524,69.18015287359603,69.23484712640396
Ulaanbaatar,City,5.0,47.8864,106.9057,47.86387747747748,47.90892252252252,106.87211450759987,106.93928549240012
Tokyo,City,5.0,35.6895,139.6917,35.66697747747748,35.712022522522524,139.66396940744528,139.71943059255472
Seoul,City,5.0,37.5665,126.978,37.543977477477476,37.58902252252252,126.94958565690648,127.00641434309351
Beijing,City,5.0,39.9042,116.4074,39.88167747747748,39.926722522522525,116.37804008570531,116.43675991429468
Hanoi,City,5.0,21.0278,105.8342,21.005277477477478,21.05032252252252,105.8100706157838,105.85832938421619
Taipei,City,5.0,25.033,121.5654,25.01047747747748,25.055522522522523,121.54054246576102,121.59025753423897
Manila,City,5.0,14.5995,120.9842,14.576977477477477,14.622022522522524,120.96092599163667,121.00747400836333
Vientiane,City,5.0,17.9757,102.6331,17.953177477477478,17.99822252252252,102.60942167919457,102.65677832080543
Bangkok,City,5.0,13.7563,100.5018,13.733777477477476,13.778822522522523,100.47861236161192,100.52498763838808
Kuala Lumpur,City,5.0,3.139,101.6869,3.1164774774774773,3.1615225225225223,101.66434363455471,101.70945636544528
Jakarta,City,5.0,-6.2088,106.8456,-6.231322522522523,-6.186277477477478,106.8229445891004,106.86825541089961
Tehran,City,5.0,35.6892,51.389,35.66667747747748,35.71172252252252,51.36126951173882,51.41673048826119
Baghdad,City,5.0,33.3152,44.3661,33.292677477477476,33.33772252252252,44.339148276573454,44.39305172342655
Ankara,City,5.0,39.9334,32.8597,39.91087747747748,39.95592252252252,32.83032756378688,32.88907243621311
Tbilisi,City,5.0,41.7151,44.8271,41.69257747747748,41.73762252252252,44.796927670764674,44.85727232923533
Canberra,City,5.0,-35.2809,149.13,-35.303422522522524,-35.25837747747748,149.1024100331875,149.15758996681248
Wellington,City,5.0,-41.2865,174.7762,-41.30902252252252,-41.263977477477475,174.74622670429838,174.8061732957016
Tashkent,City,5.0,41.2995,69.2401,41.27697747747748,41.32202252252252,69.21012073059217,69.27007926940783
New York,City,5.0,40.7128,-74.006,40.69027747747748,40.73532252252252,-74.03571353582389,-73.97628646417611
Los Angeles,City,5.0,34.0522,-118.2437,34.02967747747748,34.07472252252252,-118.27088378714511,-118.2165162128549
Philadelphia,City,5.0,39.9526,-75.1652,39.930077477477475,39.97512252252252,-75.19458067978539,-75.13581932021461
Miami,City,5.0,25.7617,-80.1918,25.73917747747748,25.784222522522523,-80.21680808884447,-80.16679191115553
Seattle,City,5.0,47.6062,-122.3321,47.58367747747748,47.62872252252252,-122.36550517908411,-122.29869482091588
Tucson,City,5.0,32.2226,-110.9747,32.20007747747748,32.24512252252252,-111.00132290484832,-110.94807709515167
Las Vegas,City,5.0,36.1699,-115.1398,36.14737747747748,36.19242252252252,-115.16769959908638,-115.11190040091361
Machu Picchu,Heritage,1.0,-13.1631,-72.545,-13.167604504504505,-13.158595495495495,-72.54962605044106,-72.54037394955894
Pyramids of Giza,Heritage,1.0,29.9792,31.1342,29.974695495495496,29.9837045045045,31.128999735828074,31.139400264171925
Great Wall (Simatai section),Heritage,5.0,40.6487,117.2372,40.626177477477476,40.67122252252252,117.20751502382242,117.26688497617758
Taj Mahal,Heritage,1.0,27.1751,78.0421,27.170595495495498,27.179604504504503,78.03703656827065,78.04716343172936
Pyramide de Kukulcan,Heritage,1.0,20.6843,-88.5678,20.679795495495497,20.688804504504503,-88.57261486670156,-88.56298513329845
Maracana Stadium (Rio de Janeiro),Stadium,1.0,-22.9121,-43.2302,-22.9166045045045,-22.907595495495496,-43.235090336354986,-43.22530966364502
Camp Nou (Barcelona),Stadium,1.0,41.3809,2.1228,41.376395495495494,41.3854045045045,2.1167966473275808,2.128803352672419
Wembley Stadium (London),Stadium,1.0,51.5554,-0.2796,51.550895495495496,51.5599045045045,-0.2868447916536632,-0.2723552083463368
LAX Airport,Airport,2.0,33.9416,-118.4085,33.932590990990995,33.95060900900901,-118.41935936810651,-118.3976406318935
Heathrow Airport,Airport,2.0,51.47,-0.4543,51.46099099099099,51.479009009009005,-0.4687624453766027,-0.43983755462339724
Beijing Capital Airport,Airport,2.0,40.0801,116.5846,40.071090990990996,40.08910900900901,116.57282575046597,116.59637424953402
Hoover Dam,Civil Work,2.0,36.0156,-114.7378,36.00659099099099,36.024609009009005,-114.74893795123087,-114.72666204876911
Bingham Canyon Mine (UT),Mine,2.0,40.5179,-112.1202,40.50889099099099,40.526909009009,-112.1320507933161,-112.1083492066839
Panama Canal (Miraflores Locks),Canal,2.0,8.9473,-79.558,8.938290990990991,8.95630900900901,-79.56711998269672,-79.54888001730329
Wenchang Space Launch Site (China),Spaceport,1.0,19.6147,110.9516,19.610195495495496,19.619204504504502,110.94681800268116,110.95638199731884
Guiana Space Centre (Europe),Spaceport,1.0,5.239,-52.768,5.234495495495495,5.243504504504505,-52.77252340112001,-52.76347659887999
Kennedy Space Center (USA),Spaceport,1.0,28.5729,-80.6489,28.568395495495498,28.577404504504504,-80.6540291924956,-80.6437708075044
Boca Chica Launch Site (USA),Spaceport,1.0,25.9971,-97.1566,25.992595495495497,26.001604504504503,-97.1616115967409,-97.1515884032591
Baikonur Cosmodrome (Russia),Spaceport,1.0,45.92,63.342,45.9154954954955,45.924504504504505,63.33552486698842,63.348475133011576
Pine Creek Fire Lookout (CA),Fire Lookout,10.0,34.8606,-118.2847,34.815554954954955,34.90564504504504,-118.33959648740743,-118.22980351259257
Mount Lofty Fire Tower (SA),Fire Lookout,10.0,-34.9741,138.657,-35.01914504504504,-34.92905495495496,138.6020275480332,138.71197245196683
Mount Hood Fire Lookout (OR USA),Fire Lookout,10.0,45.3737,-121.6959,45.328654954954956,45.41874504504504,-121.76002290307197,-121.63177709692802
Piestewa Peak Fire Tower (AZ USA),Fire Lookout,10.0,33.52,-111.9856,33.47495495495496,33.565045045045046,-112.03963072733045,-111.93156927266956
Granite Peak Lookout (MT USA),Fire Lookout,10.0,45.3669,-109.8016,45.32185495495496,45.411945045045044,-109.86571519426522,-109.73748480573477
Okanagan Mountain Lookout (BC CAN),Fire Lookout,10.0,49.7928,-119.5006,49.74775495495496,49.83784504504504,-119.57037738265981,-119.4308226173402
Mount Pinaus Lookout (AB CAN),Fire Lookout,10.0,52.3232,-116.797,52.27815495495496,52.36824504504504,-116.87069855668658,-116.72330144331342
Mount Bimberi Fire Tower (ACT AUS),Fire Lookout,10.0,-35.5528,149.1014,-35.59784504504504,-35.507754954954954,149.04603354176672,149.1567664582333
Cape Otway Lookout (VIC AUS),Fire Lookout,10.0,-38.8607,143.5171,-38.905745045045045,-38.81565495495496,143.45925157726066,143.57494842273934
Puy de Sancy Lookout (Auvergne FRA),Fire Lookout,10.0,45.5319,2.789,45.48685495495496,45.57694504504504,2.7246969729782995,2.853303027021701
Monte Baldo Fire Tower (TN ITA),Fire Lookout,10.0,45.7721,10.8465,45.72705495495496,45.817145045045045,10.78192059735956,10.911079402640441
Mount Etna,Volcano,2.0,37.751,14.9934,37.74199099099099,37.760009009009,14.98200598260432,15.004794017395678
Mount Vesuvius,Volcano,2.0,40.8214,14.4265,40.81239099099099,40.830409009009,14.414595146746118,14.438404853253884
Popocatepetl,Volcano,2.0,19.023,-98.622,19.01399099099099,19.03200900900901,-98.63152943218951,-98.61247056781049
Mauna Loa,Volcano,2.0,19.4756,-155.6082,19.46659099099099,19.48460900900901,-155.6177557553021,-155.5986442446979
Kalauea,Volcano,2.0,19.4069,-155.2834,19.39789099099099,19.41590900900901,-155.2929517119742,-155.2738482880258
Eyjafjallajokull,Volcano,2.0,63.633,-19.62,63.623990990991,63.64200900900901,-19.64028511434527,-19.59971488565473
Mount Merapi,Volcano,2.0,-7.5407,110.4461,-7.5497090090090095,-7.531690990990991,110.43701240044945,110.45518759955056
Mount Pinatubo,Volcano,2.0,15.1429,120.3494,15.13389099099099,15.151909009009008,120.3400669213813,120.35873307861871
Krakatoa (Krakatau),Volcano,2.0,-6.102,105.4233,-6.11100900900901,-6.092990990990991,105.41423965721079,105.43236034278921
Cotopaxi,Volcano,2.0,-0.68,-78.4375,-0.6890090090090091,-0.670990990990991,-78.44650964352866,-78.42849035647134
Piton de la Fournaise,Volcano,2.0,-21.2442,55.7089,-21.25320900900901,-21.23519099099099,55.69923414339213,55.71856585660787
Mount Everest,Mountain Peak,1.0,27.9881,86.925,27.983595495495496,27.992604504504502,86.91989889632492,86.93010110367507
K2,Mountain Peak,1.0,35.8808,76.5133,35.8762954954955,35.885304504504504,76.50774051747399,76.51885948252601
Mount Fuji,Mountain Peak,1.0,35.3606,138.7274,35.356095495495495,35.3651045045045,138.72187656509604,138.73292343490394
Mont Blanc,Mountain Peak,1.0,45.8326,6.8652,45.828095495495496,45.8371045045045,6.858735043120427,6.871664956879573
Kilimanjaro,Mountain Peak,1.0,-3.0674,37.3556,-3.071904504504505,-3.0628954954954954,37.35108903253458,37.360110967465424
Denali,Mountain Peak,1.0,63.0695,-151.0074,63.064995495495495,63.0740045045045,-151.01734570831636,-150.99745429168362
Latmos, Space Laboratory,10.0,48.7777,2.0492,48.73265495495496,48.822745045045046,1.9808445251677995,2.1175554748322005
Grindavikur,Volcano,5.0,63.85963,-22.411296,63.83710747747748,63.882152522522524,-22.462417116818223,-22.360174883181777
Aeroport Toulouse-Blagnac,Airport,2.5000000000,43.6299780000,1.3608099000,43.6187491103,43.6412068897,1.3452963328,1.3763234672
Hell Door,Fire Lookout,1.0000000000,40.2524720000,58.4395750000,40.2479804441,40.2569635559,58.4336898731,58.4454601269
