Time,Latitude,Longitude,Range_km,Direction,Name,Type
2025/08/10 22:02:41,59.16832,18.03360,18.010,186.4°,Stockholm,City
2025/08/10 22:02:42,59.10835,17.99789,24.896,189.3°,Stockholm,City
2025/08/11 08:57:09,40.88626,14.66072,20.978,69.8°,Mount Vesuvius,Volcano
2025/08/11 08:57:10,40.94757,14.64198,22.912,52.2°,Mount Vesuvius,Volcano
2025/08/11 10:39:51,63.36425,-19.90306,33.019,205.3°,Eyjafjallajokull,Volcano
2025/08/11 10:39:52,63.42347,-19.94855,28.425,215.1°,Eyjafjallajokull,Volcano
2025/08/11 10:39:53,63.48269,-19.99421,24.954,228.1°,Eyjafjallajokull,Volcano
2025/08/11 10:39:54,63.54188,-20.04005,23.116,244.2°,Eyjafjallajokull,Volcano
2025/08/11 10:39:55,63.60107,-20.08606,23.301,261.4°,Eyjafjallajokull,Volcano
2025/08/11 10:39:56,63.66024,-20.13224,25.465,277.1°,Eyjafjallajokull,Volcano
2025/08/11 10:39:57,63.71940,-20.17860,29.171,289.5°,Eyjafjallajokull,Volcano
2025/08/11 10:39:58,63.77855,-20.22513,33.917,298.8°,Eyjafjallajokull,Volcano
