territory_id_id,Nom du fichier/tuile,Nom simplifié,Longitude centre,Latitude centre,Largeur (°),Hauteur (°),country
48,ESA_WorldCover_10m_2021_v200_N00E039_Map_4.tif,N00E039_4,41.25,2.25,1.5,1.5,Somalia
49,ESA_WorldCover_10m_2021_v200_N00E042_Map_1.tif,N00E042_1,42.75,0.75,1.5,1.5,Somalia
50,ESA_WorldCover_10m_2021_v200_N00E042_Map_2.tif,N00E042_2,44.25,0.75,1.5,1.5,Somalia
51,ESA_WorldCover_10m_2021_v200_N00E042_Map_3.tif,N00E042_3,42.75,2.25,1.5,1.5,Somalia
52,ESA_WorldCover_10m_2021_v200_N00E042_Map_4.tif,N00E042_4,44.25,2.25,1.5,1.5,Somalia
54,ESA_WorldCover_10m_2021_v200_N00E045_Map_2.tif,N00E045_2,47.25,0.75,1.5,1.5,Ocean
55,ESA_WorldCover_10m_2021_v200_N00E045_Map_3.tif,N00E045_3,45.75,2.25,1.5,1.5,Somalia
56,ESA_WorldCover_10m_2021_v200_N00E045_Map_4.tif,N00E045_4,47.25,2.25,1.5,1.5,Somalia
57,ESA_WorldCover_10m_2021_v200_N00E072_Map_1.tif,N00E072_1,72.75,0.75,1.5,1.5,Maldives
58,ESA_WorldCover_10m_2021_v200_N00E072_Map_2.tif,N00E072_2,74.25,0.75,1.5,1.5,Maldives
59,ESA_WorldCover_10m_2021_v200_N00E072_Map_3.tif,N00E072_3,72.75,2.25,1.5,1.5,Maldives
60,ESA_WorldCover_10m_2021_v200_N00E072_Map_4.tif,N00E072_4,74.25,2.25,1.5,1.5,Maldives
61,ESA_WorldCover_10m_2021_v200_N00E093_Map_1.tif,N00E093_1,93.75,0.75,1.5,1.5,Ocean
62,ESA_WorldCover_10m_2021_v200_N00E093_Map_2.tif,N00E093_2,95.25,0.75,1.5,1.5,Ocean
63,ESA_WorldCover_10m_2021_v200_N00E093_Map_3.tif,N00E093_3,93.75,2.25,1.5,1.5,Ocean
64,ESA_WorldCover_10m_2021_v200_N00E093_Map_4.tif,N00E093_4,95.25,2.25,1.5,1.5,Indonesia
65,ESA_WorldCover_10m_2021_v200_N00E096_Map_1.tif,N00E096_1,96.75,0.75,1.5,1.5,Indonesia
66,ESA_WorldCover_10m_2021_v200_N00E096_Map_2.tif,N00E096_2,98.25,0.75,1.5,1.5,Indonesia
67,ESA_WorldCover_10m_2021_v200_N00E096_Map_3.tif,N00E096_3,96.75,2.25,1.5,1.5,Indonesia
68,ESA_WorldCover_10m_2021_v200_N00E096_Map_4.tif,N00E096_4,98.25,2.25,1.5,1.5,Indonesia
69,ESA_WorldCover_10m_2021_v200_N00E099_Map_1.tif,N00E099_1,99.75,0.75,1.5,1.5,Indonesia
70,ESA_WorldCover_10m_2021_v200_N00E099_Map_2.tif,N00E099_2,101.25,0.75,1.5,1.5,Indonesia
71,ESA_WorldCover_10m_2021_v200_N00E099_Map_3.tif,N00E099_3,99.75,2.25,1.5,1.5,Indonesia
72,ESA_WorldCover_10m_2021_v200_N00E099_Map_4.tif,N00E099_4,101.25,2.25,1.5,1.5,Indonesia
73,ESA_WorldCover_10m_2021_v200_N00E102_Map_1.tif,N00E102_1,102.75,0.75,1.5,1.5,Indonesia
74,ESA_WorldCover_10m_2021_v200_N00E102_Map_2.tif,N00E102_2,104.25,0.75,1.5,1.5,Indonesia
75,ESA_WorldCover_10m_2021_v200_N00E102_Map_3.tif,N00E102_3,102.75,2.25,1.5,1.5,Malaysia
76,ESA_WorldCover_10m_2021_v200_N00E102_Map_4.tif,N00E102_4,104.25,2.25,1.5,1.5,Malaysia
77,ESA_WorldCover_10m_2021_v200_N00E105_Map_1.tif,N00E105_1,105.75,0.75,1.5,1.5,Ocean
78,ESA_WorldCover_10m_2021_v200_N00E105_Map_2.tif,N00E105_2,107.25,0.75,1.5,1.5,Indonesia
79,ESA_WorldCover_10m_2021_v200_N00E105_Map_3.tif,N00E105_3,105.75,2.25,1.5,1.5,Indonesia
80,ESA_WorldCover_10m_2021_v200_N00E105_Map_4.tif,N00E105_4,107.25,2.25,1.5,1.5,Indonesia
81,ESA_WorldCover_10m_2021_v200_N00E108_Map_1.tif,N00E108_1,108.75,0.75,1.5,1.5,Indonesia
82,ESA_WorldCover_10m_2021_v200_N00E108_Map_2.tif,N00E108_2,110.25,0.75,1.5,1.5,Indonesia
83,ESA_WorldCover_10m_2021_v200_N00E108_Map_3.tif,N00E108_3,108.75,2.25,1.5,1.5,Indonesia
84,ESA_WorldCover_10m_2021_v200_N00E108_Map_4.tif,N00E108_4,110.25,2.25,1.5,1.5,Malaysia
85,ESA_WorldCover_10m_2021_v200_N00E111_Map_1.tif,N00E111_1,111.75,0.75,1.5,1.5,Indonesia
86,ESA_WorldCover_10m_2021_v200_N00E111_Map_2.tif,N00E111_2,113.25,0.75,1.5,1.5,Indonesia
87,ESA_WorldCover_10m_2021_v200_N00E111_Map_3.tif,N00E111_3,111.75,2.25,1.5,1.5,Malaysia
88,ESA_WorldCover_10m_2021_v200_N00E111_Map_4.tif,N00E111_4,113.25,2.25,1.5,1.5,Malaysia
89,ESA_WorldCover_10m_2021_v200_N00E114_Map_1.tif,N00E114_1,114.75,0.75,1.5,1.5,Indonesia
90,ESA_WorldCover_10m_2021_v200_N00E114_Map_2.tif,N00E114_2,116.25,0.75,1.5,1.5,Indonesia
91,ESA_WorldCover_10m_2021_v200_N00E114_Map_3.tif,N00E114_3,114.75,2.25,1.5,1.5,Malaysia
92,ESA_WorldCover_10m_2021_v200_N00E114_Map_4.tif,N00E114_4,116.25,2.25,1.5,1.5,Indonesia
93,ESA_WorldCover_10m_2021_v200_N00E117_Map_1.tif,N00E117_1,117.75,0.75,1.5,1.5,Indonesia
94,ESA_WorldCover_10m_2021_v200_N00E117_Map_2.tif,N00E117_2,119.25,0.75,1.5,1.5,Indonesia
95,ESA_WorldCover_10m_2021_v200_N00E117_Map_3.tif,N00E117_3,117.75,2.25,1.5,1.5,Indonesia
96,ESA_WorldCover_10m_2021_v200_N00E117_Map_4.tif,N00E117_4,119.25,2.25,1.5,1.5,Indonesia
97,ESA_WorldCover_10m_2021_v200_N00E120_Map_1.tif,N00E120_1,120.75,0.75,1.5,1.5,Indonesia
98,ESA_WorldCover_10m_2021_v200_N00E120_Map_2.tif,N00E120_2,122.25,0.75,1.5,1.5,Indonesia
99,ESA_WorldCover_10m_2021_v200_N00E120_Map_3.tif,N00E120_3,120.75,2.25,1.5,1.5,Ocean
100,ESA_WorldCover_10m_2021_v200_N00E120_Map_4.tif,N00E120_4,122.25,2.25,1.5,1.5,Ocean
101,ESA_WorldCover_10m_2021_v200_N00E123_Map_1.tif,N00E123_1,123.75,0.75,1.5,1.5,Indonesia
102,ESA_WorldCover_10m_2021_v200_N00E123_Map_2.tif,N00E123_2,125.25,0.75,1.5,1.5,Indonesia
103,ESA_WorldCover_10m_2021_v200_N00E123_Map_3.tif,N00E123_3,123.75,2.25,1.5,1.5,Ocean
104,ESA_WorldCover_10m_2021_v200_N00E123_Map_4.tif,N00E123_4,125.25,2.25,1.5,1.5,Indonesia
105,ESA_WorldCover_10m_2021_v200_N00E126_Map_1.tif,N00E126_1,126.75,0.75,1.5,1.5,Indonesia
106,ESA_WorldCover_10m_2021_v200_N00E126_Map_2.tif,N00E126_2,128.25,0.75,1.5,1.5,Indonesia
107,ESA_WorldCover_10m_2021_v200_N00E126_Map_3.tif,N00E126_3,126.75,2.25,1.5,1.5,Ocean
108,ESA_WorldCover_10m_2021_v200_N00E126_Map_4.tif,N00E126_4,128.25,2.25,1.5,1.5,Indonesia
109,ESA_WorldCover_10m_2021_v200_N00E129_Map_1.tif,N00E129_1,129.75,0.75,1.5,1.5,Indonesia
110,ESA_WorldCover_10m_2021_v200_N00E129_Map_2.tif,N00E129_2,131.25,0.75,1.5,1.5,Indonesia
111,ESA_WorldCover_10m_2021_v200_N00E129_Map_3.tif,N00E129_3,129.75,2.25,1.5,1.5,Ocean
112,ESA_WorldCover_10m_2021_v200_N00E129_Map_4.tif,N00E129_4,131.25,2.25,1.5,1.5,Palau
113,ESA_WorldCover_10m_2021_v200_N00E132_Map_1.tif,N00E132_1,132.75,0.75,1.5,1.5,Ocean
114,ESA_WorldCover_10m_2021_v200_N00E132_Map_2.tif,N00E132_2,134.25,0.75,1.5,1.5,Indonesia
115,ESA_WorldCover_10m_2021_v200_N00E132_Map_3.tif,N00E132_3,132.75,2.25,1.5,1.5,Ocean
116,ESA_WorldCover_10m_2021_v200_N00E132_Map_4.tif,N00E132_4,134.25,2.25,1.5,1.5,Ocean
117,ESA_WorldCover_10m_2021_v200_N00E171_Map_1.tif,N00E171_1,171.75,0.75,1.5,1.5,Ocean
118,ESA_WorldCover_10m_2021_v200_N00E171_Map_2.tif,N00E171_2,173.25,0.75,1.5,1.5,Kiribati
119,ESA_WorldCover_10m_2021_v200_N00E171_Map_3.tif,N00E171_3,171.75,2.25,1.5,1.5,Ocean
120,ESA_WorldCover_10m_2021_v200_N00E171_Map_4.tif,N00E171_4,173.25,2.25,1.5,1.5,Kiribati
121,ESA_WorldCover_10m_2021_v200_N00W051_Map_1.tif,N00W051_1,-50.25,0.75,1.5,1.5,Brazil
122,ESA_WorldCover_10m_2021_v200_N00W051_Map_2.tif,N00W051_2,-48.75,0.75,1.5,1.5,Brazil
123,ESA_WorldCover_10m_2021_v200_N00W051_Map_3.tif,N00W051_3,-50.25,2.25,1.5,1.5,Brazil
124,ESA_WorldCover_10m_2021_v200_N00W051_Map_4.tif,N00W051_4,-48.75,2.25,1.5,1.5,Ocean
125,ESA_WorldCover_10m_2021_v200_N00W054_Map_1.tif,N00W054_1,-53.25,0.75,1.5,1.5,Brazil
126,ESA_WorldCover_10m_2021_v200_N00W054_Map_2.tif,N00W054_2,-51.75,0.75,1.5,1.5,Brazil
127,ESA_WorldCover_10m_2021_v200_N00W054_Map_3.tif,N00W054_3,-53.25,2.25,1.5,1.5,Brazil
128,ESA_WorldCover_10m_2021_v200_N00W054_Map_4.tif,N00W054_4,-51.75,2.25,1.5,1.5,Brazil
129,ESA_WorldCover_10m_2021_v200_N00W057_Map_1.tif,N00W057_1,-56.25,0.75,1.5,1.5,Brazil
130,ESA_WorldCover_10m_2021_v200_N00W057_Map_2.tif,N00W057_2,-54.75,0.75,1.5,1.5,Brazil
131,ESA_WorldCover_10m_2021_v200_N00W057_Map_3.tif,N00W057_3,-56.25,2.25,1.5,1.5,Suriname
132,ESA_WorldCover_10m_2021_v200_N00W057_Map_4.tif,N00W057_4,-54.75,2.25,1.5,1.5,Brazil
133,ESA_WorldCover_10m_2021_v200_N00W060_Map_1.tif,N00W060_1,-59.25,0.75,1.5,1.5,Brazil
134,ESA_WorldCover_10m_2021_v200_N00W060_Map_2.tif,N00W060_2,-57.75,0.75,1.5,1.5,Brazil
135,ESA_WorldCover_10m_2021_v200_N00W060_Map_3.tif,N00W060_3,-59.25,2.25,1.5,1.5,Guyana
136,ESA_WorldCover_10m_2021_v200_N00W060_Map_4.tif,N00W060_4,-57.75,2.25,1.5,1.5,Guyana
137,ESA_WorldCover_10m_2021_v200_N00W063_Map_1.tif,N00W063_1,-62.25,0.75,1.5,1.5,Brazil
138,ESA_WorldCover_10m_2021_v200_N00W063_Map_2.tif,N00W063_2,-60.75,0.75,1.5,1.5,Brazil
139,ESA_WorldCover_10m_2021_v200_N00W063_Map_3.tif,N00W063_3,-62.25,2.25,1.5,1.5,Brazil
140,ESA_WorldCover_10m_2021_v200_N00W063_Map_4.tif,N00W063_4,-60.75,2.25,1.5,1.5,Brazil
141,ESA_WorldCover_10m_2021_v200_N00W066_Map_1.tif,N00W066_1,-65.25,0.75,1.5,1.5,Brazil
142,ESA_WorldCover_10m_2021_v200_N00W066_Map_2.tif,N00W066_2,-63.75,0.75,1.5,1.5,Brazil
143,ESA_WorldCover_10m_2021_v200_N00W066_Map_3.tif,N00W066_3,-65.25,2.25,1.5,1.5,Venezuela
144,ESA_WorldCover_10m_2021_v200_N00W066_Map_4.tif,N00W066_4,-63.75,2.25,1.5,1.5,Brazil
145,ESA_WorldCover_10m_2021_v200_N00W069_Map_1.tif,N00W069_1,-68.25,0.75,1.5,1.5,Brazil
146,ESA_WorldCover_10m_2021_v200_N00W069_Map_2.tif,N00W069_2,-66.75,0.75,1.5,1.5,Brazil
147,ESA_WorldCover_10m_2021_v200_N00W069_Map_3.tif,N00W069_3,-68.25,2.25,1.5,1.5,Colombia
148,ESA_WorldCover_10m_2021_v200_N00W069_Map_4.tif,N00W069_4,-66.75,2.25,1.5,1.5,Venezuela
149,ESA_WorldCover_10m_2021_v200_N00W072_Map_1.tif,N00W072_1,-71.25,0.75,1.5,1.5,Colombia
150,ESA_WorldCover_10m_2021_v200_N00W072_Map_2.tif,N00W072_2,-69.75,0.75,1.5,1.5,Brazil
151,ESA_WorldCover_10m_2021_v200_N00W072_Map_3.tif,N00W072_3,-71.25,2.25,1.5,1.5,Colombia
152,ESA_WorldCover_10m_2021_v200_N00W072_Map_4.tif,N00W072_4,-69.75,2.25,1.5,1.5,Colombia
153,ESA_WorldCover_10m_2021_v200_N00W075_Map_1.tif,N00W075_1,-74.25,0.75,1.5,1.5,Colombia
154,ESA_WorldCover_10m_2021_v200_N00W075_Map_2.tif,N00W075_2,-72.75,0.75,1.5,1.5,Colombia
155,ESA_WorldCover_10m_2021_v200_N00W075_Map_3.tif,N00W075_3,-74.25,2.25,1.5,1.5,Colombia
156,ESA_WorldCover_10m_2021_v200_N00W075_Map_4.tif,N00W075_4,-72.75,2.25,1.5,1.5,Colombia
157,ESA_WorldCover_10m_2021_v200_N00W078_Map_1.tif,N00W078_1,-77.25,0.75,1.5,1.5,Colombia
158,ESA_WorldCover_10m_2021_v200_N00W078_Map_2.tif,N00W078_2,-75.75,0.75,1.5,1.5,Colombia
159,ESA_WorldCover_10m_2021_v200_N00W078_Map_3.tif,N00W078_3,-77.25,2.25,1.5,1.5,Colombia
160,ESA_WorldCover_10m_2021_v200_N00W078_Map_4.tif,N00W078_4,-75.75,2.25,1.5,1.5,Colombia
161,ESA_WorldCover_10m_2021_v200_N00W081_Map_1.tif,N00W081_1,-80.25,0.75,1.5,1.5,Ecuador
162,ESA_WorldCover_10m_2021_v200_N00W081_Map_2.tif,N00W081_2,-78.75,0.75,1.5,1.5,Ecuador
163,ESA_WorldCover_10m_2021_v200_N00W081_Map_3.tif,N00W081_3,-80.25,2.25,1.5,1.5,Ocean
164,ESA_WorldCover_10m_2021_v200_N00W081_Map_4.tif,N00W081_4,-78.75,2.25,1.5,1.5,Colombia
165,ESA_WorldCover_10m_2021_v200_N00W090_Map_1.tif,N00W090_1,-89.25,0.75,1.5,1.5,Ocean
166,ESA_WorldCover_10m_2021_v200_N00W090_Map_2.tif,N00W090_2,-87.75,0.75,1.5,1.5,Ocean
167,ESA_WorldCover_10m_2021_v200_N00W090_Map_3.tif,N00W090_3,-89.25,2.25,1.5,1.5,Ocean
168,ESA_WorldCover_10m_2021_v200_N00W090_Map_4.tif,N00W090_4,-87.75,2.25,1.5,1.5,Ocean
169,ESA_WorldCover_10m_2021_v200_N00W093_Map_1.tif,N00W093_1,-92.25,0.75,1.5,1.5,Ecuador
170,ESA_WorldCover_10m_2021_v200_N00W093_Map_2.tif,N00W093_2,-90.75,0.75,1.5,1.5,Ecuador
171,ESA_WorldCover_10m_2021_v200_N00W093_Map_3.tif,N00W093_3,-92.25,2.25,1.5,1.5,Ecuador
172,ESA_WorldCover_10m_2021_v200_N00W093_Map_4.tif,N00W093_4,-90.75,2.25,1.5,1.5,Ocean
173,ESA_WorldCover_10m_2021_v200_N00W159_Map_1.tif,N00W159_1,-158.25,0.75,1.5,1.5,Ocean
174,ESA_WorldCover_10m_2021_v200_N00W159_Map_2.tif,N00W159_2,-156.75,0.75,1.5,1.5,Ocean
